Strain,Country,Human_subject,Study_accession,score,Sample_accession,
GUT_GENOME144938,United States,Unknown,PRJNA383763,100.6393015,SAMN06806381,
GUT_GENOME144939,United States,Unknown,PRJNA383763,100.7975783,SAMN06806378,
GUT_GENOME144940,United States,Unknown,PRJNA383763,102.2248225,SAMN06806407,
GUT_GENOME144941,United States,Unknown,PRJNA383763,100.8101845,SAMN06806377,
GUT_GENOME144942,United States,Unknown,PRJNA383763,100.8892208,SAMN06806379,
GUT_GENOME144943,United States,Unknown,PRJNA383763,101.0007317,SAMN06806401,
GUT_GENOME144944,United States,Unknown,PRJNA383763,100.7443769,SAMN06806406,
GUT_GENOME144945,United States,Unknown,PRJNA383763,100.7101845,SAMN06806402,
GUT_GENOME144946,United States,Unknown,PRJNA383763,100.7760805,SAMN06806405,
GUT_GENOME144947,United States,Unknown,PRJNA383763,100.789696,SAMN06806404,
GUT_GENOME144948,United States,Unknown,PRJNA383763,102.367271,SAMN06806395,
GUT_GENOME144949,United States,Unknown,PRJNA383763,101.7494559,SAMN06806387,
GUT_GENOME144950,United States,Unknown,PRJNA383763,101.0006637,SAMN06806399,
GUT_GENOME144951,United States,Unknown,PRJNA383763,100.6605872,SAMN06806391,
GUT_GENOME144952,United States,Unknown,PRJNA383763,101.504141,SAMN06806385,
GUT_GENOME144953,United States,Unknown,PRJNA383763,99.16651877,SAMN06806384,
GUT_GENOME144954,United States,Unknown,PRJNA383763,100.7189273,SAMN06806425,
GUT_GENOME144955,United Kingdom,Unknown,PRJNA482002,102.2886152,SAMN09710898,
GUT_GENOME144956,Romania,Unknown,PRJNA434059,100.6144329,SAMN08535033,
GUT_GENOME144957,Romania,Unknown,PRJNA434059,100.9030818,SAMN08535026,
GUT_GENOME144958,Romania,Unknown,PRJNA434059,100.8732943,SAMN08535031,
GUT_GENOME144959,Romania,Unknown,PRJNA434059,100.693468,SAMN08535029,
GUT_GENOME144960,United Kingdom,Unknown,PRJNA482002,100.6906484,SAMN09693981,
GUT_GENOME144961,United Kingdom,Unknown,PRJNA482002,101.4595788,SAMN09729056,
GUT_GENOME144962,United States,Unknown,PRJNA482007,98.14200926,SAMN09694012,
GUT_GENOME144963,France,Unknown,PRJNA475263,100.1722898,SAMN09399358,
GUT_GENOME144964,France,Unknown,PRJNA475263,102.0551852,SAMN09399353,
GUT_GENOME144965,France,Unknown,PRJNA475263,100.7209579,SAMN09399346,
GUT_GENOME144966,France,Unknown,PRJNA475263,97.67642443,SAMN09399339,
GUT_GENOME144967,France,Unknown,PRJNA475263,101.2340028,SAMN09399349,
GUT_GENOME144968,France,Unknown,PRJNA475263,100.2860076,SAMN09399365,
GUT_GENOME144969,France,Unknown,PRJNA475263,101.2939313,SAMN09399351,
GUT_GENOME144970,France,Unknown,PRJNA475263,102.0209148,SAMN09399345,
GUT_GENOME144971,France,Unknown,PRJNA475263,102.3316007,SAMN09399360,
GUT_GENOME144972,NA,rectal swab 2015, CDC,PRJNA302185,101.6615884,SAMN04448503
GUT_GENOME144973,NA,human faeces 2015, CDC,PRJNA395587,101.1711171,SAMN07411312
GUT_GENOME144974,NA,human faeces, USDA,PRJNA395587,95.69620844,SAMN07411306
GUT_GENOME144975,NA,human faeces, USDA,PRJNA395587,99.79265082,SAMN07411305
GUT_GENOME144976,South Korea,Unknown,PRJNA396801,102.5875802,SAMN07436715,
GUT_GENOME144977,China,Unknown,PRJNA292044,101.1255392,SAMN03963234,
GUT_GENOME144978,Russia,Unknown,PRJNA400773,99.59774428,SAMN07573052,
GUT_GENOME144979,Russia,Unknown,PRJNA400773,101.3869807,SAMN07573050,
GUT_GENOME144980,Russia,Unknown,PRJNA400773,100.7640698,SAMN07573048,
GUT_GENOME144981,Russia,Unknown,PRJNA400773,100.1413002,SAMN07573040,
GUT_GENOME144982,Russia,Unknown,PRJNA400773,99.70404633,SAMN07573039,
GUT_GENOME144983,Russia,Unknown,PRJNA400773,99.93431634,SAMN07573038,
GUT_GENOME144984,Russia,Unknown,PRJNA400773,101.4330132,SAMN07573054,
GUT_GENOME144985,Russia,Unknown,PRJNA400773,100.119494,SAMN07573049,
GUT_GENOME144986,Russia,Unknown,PRJNA400773,97.93810984,SAMN07573046,
GUT_GENOME144987,Russia,Unknown,PRJNA400773,99.61277117,SAMN07573043,
GUT_GENOME144988,Russia,Unknown,PRJNA400773,101.1366022,SAMN07573042,
GUT_GENOME144989,Russia,Unknown,PRJNA400773,100.8466129,SAMN07573041,
GUT_GENOME144990,Russia,Unknown,PRJNA400773,99.30876424,SAMN07573037,
GUT_GENOME144991,Russia,Unknown,PRJNA400773,100.563052,SAMN07573053,
GUT_GENOME144992,Russia,Unknown,PRJNA400773,99.36107391,SAMN07573051,
GUT_GENOME144993,Russia,Unknown,PRJNA400773,100.6891045,SAMN07573047,
GUT_GENOME144994,Russia,Unknown,PRJNA400773,100.4470198,SAMN07573045,
GUT_GENOME144995,Russia,Unknown,PRJNA400773,99.82221787,SAMN07573044,
GUT_GENOME144996,Russia,Unknown,PRJNA400773,99.27561331,SAMN07573036,
GUT_GENOME144997,Denmark,Unknown,PRJEB25657,100.1898974,SAMEA104708342,
GUT_GENOME144998,United Kingdom,Unknown,PRJEB6403,98.85080449,SAMEA104318215,
GUT_GENOME144999,NA,human faeces 1974/1900, SC,PRJEB6403,101.0303825,SAMEA3307896
GUT_GENOME145000,NA,infant faeces 1972/1975, SC,PRJEB6403,101.525017,SAMEA3376926
GUT_GENOME145001,NA,human faeces from patient with diarrhea 2013,PRJNA252850,101.2282791,SAMN02863978,
GUT_GENOME145002,NA,human faeces from patient with diarrhea 2013,PRJNA252850,100.8362628,SAMN02951527,
GUT_GENOME145003,United States,Unknown,PRJNA252850,98.49946007,SAMN02951656,
GUT_GENOME145004,United States,Unknown,PRJNA252850,101.2014699,SAMN02951658,
GUT_GENOME145005,NA,human faeces from patient with diarrhea 2011,PRJNA252850,97.59877793,SAMN02951668,
GUT_GENOME145006,China,Unknown,PRJNA267608,99.59551082,SAMN03196608,
GUT_GENOME145007,China,Unknown,PRJNA267608,101.688781,SAMN03196607,
GUT_GENOME145008,Bangladesh,Unknown,PRJNA267608,98.00061251,SAMN03196609,
GUT_GENOME145009,Bangladesh,Unknown,PRJNA267608,98.91866698,SAMN03196610,
GUT_GENOME145010,India,Unknown,PRJNA266691,98.49423914,SAMN03168300,
GUT_GENOME145011,United States,Unknown,PRJNA242851,100.0396922,SAMN02709589,
GUT_GENOME145012,Belgium,Unknown,PRJNA238952,101.4524909,SAMN02647163,
GUT_GENOME145013,Kenya,Unknown,PRJNA242755,97.32160242,SAMN02709452,
GUT_GENOME145014,Kenya,Unknown,PRJNA242756,99.30225229,SAMN02709453,
GUT_GENOME145015,Kenya,Unknown,PRJNA242754,89.09328783,SAMN02709451,
GUT_GENOME145016,Kenya,Unknown,PRJNA242759,101.2589456,SAMN02709456,
GUT_GENOME145017,Kenya,Unknown,PRJNA242758,101.3151629,SAMN02709455,
GUT_GENOME145018,Kenya,Unknown,PRJNA242757,101.4409561,SAMN02709454,
GUT_GENOME145019,Kenya,Unknown,PRJNA242751,87.86808988,SAMN02709449,
GUT_GENOME145020,Kenya,Unknown,PRJNA242753,101.7386938,SAMN02709450,
GUT_GENOME145021,Kenya,Unknown,PRJNA242760,98.63188532,SAMN02709457,
GUT_GENOME145022,United States,Unknown,PRJNA251901,95.48655608,SAMN02841130,
GUT_GENOME145023,United States,Unknown,PRJNA251896,95.44760522,SAMN02841127,
GUT_GENOME145024,United States,Unknown,PRJNA251897,94.2843751,SAMN02841128,
GUT_GENOME145025,United States,Unknown,PRJNA251902,97.72714532,SAMN02841131,
GUT_GENOME145026,United States,Unknown,PRJNA251903,98.22919037,SAMN02841133,
GUT_GENOME145027,United States,Unknown,PRJNA251898,97.31692142,SAMN02841129,
GUT_GENOME145028,Norway,Unknown,PRJEB6447,96.16707219,SAMEA2593928,
GUT_GENOME145029,Norway,Unknown,PRJEB6447,101.0243954,SAMEA2593933,
GUT_GENOME145030,Norway,Unknown,PRJEB6447,101.4603234,SAMEA2593934,
GUT_GENOME145031,Norway,Unknown,PRJEB6447,101.6273503,SAMEA2593924,
GUT_GENOME145032,Norway,Unknown,PRJEB6447,100.6161936,SAMEA2593890,
GUT_GENOME145033,Norway,Unknown,PRJEB6447,100.0999998,SAMEA2593949,
GUT_GENOME145034,Norway,Unknown,PRJEB6447,100.5710852,SAMEA2593940,
GUT_GENOME145035,Norway,Unknown,PRJEB6447,100.5925421,SAMEA2593958,
GUT_GENOME145036,Norway,Unknown,PRJEB6447,102.3897136,SAMEA2593916,
GUT_GENOME145037,Norway,Unknown,PRJEB6447,100.3480978,SAMEA2593932,
GUT_GENOME145038,Norway,Unknown,PRJEB6447,101.8671952,SAMEA2593948,
GUT_GENOME145039,Norway,Unknown,PRJEB6447,99.88357022,SAMEA2593888,
GUT_GENOME145040,Norway,Unknown,PRJEB6447,101.1856788,SAMEA2593915,
GUT_GENOME145041,Norway,Unknown,PRJEB6447,102.0744364,SAMEA2593889,
GUT_GENOME145042,Norway,Unknown,PRJEB6447,100.3567085,SAMEA2593941,
GUT_GENOME145043,Norway,Unknown,PRJEB6447,102.1374908,SAMEA2593947,
GUT_GENOME145044,Norway,Unknown,PRJEB6447,101.5912553,SAMEA2593956,
GUT_GENOME145045,Norway,Unknown,PRJEB6447,99.32389601,SAMEA2593960,
GUT_GENOME145046,Norway,Unknown,PRJEB6447,94.33483979,SAMEA2593981,
GUT_GENOME145047,Norway,Unknown,PRJEB6447,101.3591562,SAMEA2593963,
GUT_GENOME145048,Norway,Unknown,PRJEB6447,100.5786461,SAMEA2593929,
GUT_GENOME145049,Norway,Unknown,PRJEB6447,101.0475233,SAMEA2593974,
GUT_GENOME145050,Norway,Unknown,PRJEB6447,96.70181155,SAMEA2593907,
GUT_GENOME145051,Norway,Unknown,PRJEB6447,100.8420208,SAMEA2593892,
GUT_GENOME145052,Norway,Unknown,PRJEB6447,102.1165324,SAMEA2593935,
GUT_GENOME145053,Norway,Unknown,PRJEB6447,98.98742921,SAMEA2593904,
GUT_GENOME145054,Norway,Unknown,PRJEB6447,98.51991971,SAMEA2593979,
GUT_GENOME145055,Norway,Unknown,PRJEB6447,100.5711198,SAMEA2593957,
GUT_GENOME145056,Norway,Unknown,PRJEB6447,100.2482445,SAMEA2593931,
GUT_GENOME145057,Norway,Unknown,PRJEB6447,102.1624099,SAMEA2593970,
GUT_GENOME145058,Norway,Unknown,PRJEB6447,101.0002352,SAMEA2593982,
GUT_GENOME145059,Norway,Unknown,PRJEB6447,102.0876395,SAMEA2593953,
GUT_GENOME145060,Norway,Unknown,PRJEB6447,100.2666722,SAMEA2593944,
GUT_GENOME145061,Norway,Unknown,PRJEB6447,101.7044582,SAMEA2593967,
GUT_GENOME145062,Norway,Unknown,PRJEB6447,102.3288189,SAMEA2593903,
GUT_GENOME145063,Norway,Unknown,PRJEB6447,100.1471303,SAMEA2593965,
GUT_GENOME145064,Norway,Unknown,PRJEB6447,99.63138969,SAMEA2593973,
GUT_GENOME145065,Norway,Unknown,PRJEB6447,99.56383061,SAMEA2593972,
GUT_GENOME145066,Norway,Unknown,PRJEB6447,101.9670039,SAMEA2593899,
GUT_GENOME145067,Norway,Unknown,PRJEB6447,102.4396886,SAMEA2593936,
GUT_GENOME145068,United States,Unknown,PRJNA273259,100.7044485,SAMN03322683,
GUT_GENOME145069,United States,Unknown,PRJNA218110,98.11752647,SAMN03333487,
GUT_GENOME145070,United States,Unknown,PRJNA218110,100.2618772,SAMN03333429,
GUT_GENOME145071,United States,Unknown,PRJNA218110,98.29569957,SAMN03333592,
GUT_GENOME145072,United States,Unknown,PRJNA218110,100.3225102,SAMN03333431,
GUT_GENOME145073,United States,Unknown,PRJNA218110,98.15896927,SAMN03333573,
GUT_GENOME145074,United States,Unknown,PRJNA218110,95.4126211,SAMN03333572,
GUT_GENOME145075,United States,Unknown,PRJNA218110,96.84312712,SAMN03333433,
GUT_GENOME145076,United States,Unknown,PRJNA218110,101.507027,SAMN03333464,
GUT_GENOME145077,United States,Unknown,PRJNA218110,100.5422401,SAMN03333593,
GUT_GENOME145078,NA,human faeces from patient with diarrhea 1998,PRJNA218110,95.2790392,SAMN03334847,
GUT_GENOME145079,NA,human faeces from patient with diarrhea 1998,PRJNA218110,100.8561796,SAMN03334835,
GUT_GENOME145080,Norway,Unknown,PRJEB6447,101.8861707,SAMEA2593906,
GUT_GENOME145081,Norway,Unknown,PRJEB6447,101.8377389,SAMEA2593908,
GUT_GENOME145082,Norway,Unknown,PRJEB6447,101.4678464,SAMEA2593910,
GUT_GENOME145083,Norway,Unknown,PRJEB6447,101.8586475,SAMEA2593896,
GUT_GENOME145084,Norway,Unknown,PRJEB6447,102.4183909,SAMEA2593952,
GUT_GENOME145085,Norway,Unknown,PRJEB6447,100.4606503,SAMEA2593926,
GUT_GENOME145086,Norway,Unknown,PRJEB6447,102.0292453,SAMEA2593959,
GUT_GENOME145087,Norway,Unknown,PRJEB6447,102.0953537,SAMEA2593968,
GUT_GENOME145088,Norway,Unknown,PRJEB6447,100.8268997,SAMEA2593905,
GUT_GENOME145089,Norway,Unknown,PRJEB6447,101.1607594,SAMEA2593901,
GUT_GENOME145090,Norway,Unknown,PRJEB6447,101.5578638,SAMEA2593938,
GUT_GENOME145091,Norway,Unknown,PRJEB6447,102.2104067,SAMEA2593950,
GUT_GENOME145092,Norway,Unknown,PRJEB6447,101.7393741,SAMEA2593895,
GUT_GENOME145093,Norway,Unknown,PRJEB6447,102.5008008,SAMEA2593971,
GUT_GENOME145094,Norway,Unknown,PRJEB6447,102.154808,SAMEA2593923,
GUT_GENOME145095,Norway,Unknown,PRJEB6447,102.2546937,SAMEA2593893,
GUT_GENOME145096,Norway,Unknown,PRJEB6447,101.2100797,SAMEA2593961,
GUT_GENOME145097,Norway,Unknown,PRJEB6447,102.4192167,SAMEA2593939,
GUT_GENOME145098,Norway,Unknown,PRJEB6447,101.8873176,SAMEA2593913,
GUT_GENOME145099,Norway,Unknown,PRJEB6447,99.55797565,SAMEA2593925,
GUT_GENOME145100,Norway,Unknown,PRJEB6447,98.9508342,SAMEA2593951,
GUT_GENOME145101,Norway,Unknown,PRJEB6447,101.7440936,SAMEA2593912,
GUT_GENOME145102,Norway,Unknown,PRJEB6447,101.405131,SAMEA2593964,
GUT_GENOME145103,Norway,Unknown,PRJEB6447,100.6107915,SAMEA2593975,
GUT_GENOME145104,Norway,Unknown,PRJEB6447,101.2002213,SAMEA2593942,
GUT_GENOME145105,Norway,Unknown,PRJEB6447,102.2649721,SAMEA2593917,
GUT_GENOME145106,Norway,Unknown,PRJEB6447,101.4580435,SAMEA2593943,
GUT_GENOME145107,Norway,Unknown,PRJEB6447,96.72372063,SAMEA2593983,
GUT_GENOME145108,Netherlands,Unknown,PRJNA261490,101.7578745,SAMN03075146,
GUT_GENOME145109,Netherlands,Unknown,PRJNA261490,101.7320403,SAMN03074547,
GUT_GENOME145110,Germany,Unknown,PRJNA261490,101.7732244,SAMN03075177,
GUT_GENOME145111,Netherlands,Unknown,PRJNA261490,101.7279842,SAMN03075144,
GUT_GENOME145112,Germany,Unknown,PRJNA261490,101.7839457,SAMN03075188,
GUT_GENOME145113,Netherlands,Unknown,PRJNA261490,102.4228702,SAMN03075145,
GUT_GENOME145114,Germany,Unknown,PRJNA261490,101.783966,SAMN03075216,
GUT_GENOME145115,Norway,Unknown,PRJEB6447,96.52005801,SAMEA2593891,
GUT_GENOME145116,Norway,Unknown,PRJEB6447,102.244012,SAMEA2593900,
GUT_GENOME145117,Norway,Unknown,PRJEB6447,100.9677043,SAMEA2593911,
GUT_GENOME145118,Norway,Unknown,PRJEB6447,102.5463378,SAMEA2593914,
GUT_GENOME145119,Norway,Unknown,PRJEB6447,100.1387451,SAMEA2593930,
GUT_GENOME145120,Norway,Unknown,PRJEB6447,102.4915462,SAMEA2593977,
GUT_GENOME145121,Norway,Unknown,PRJEB6447,99.56533859,SAMEA2593978,
GUT_GENOME145122,United Kingdom,Unknown,PRJNA277626,99.82274771,SAMN03394618,
GUT_GENOME145123,Norway,Unknown,PRJNA275276,100.6265436,SAMN03340668,
GUT_GENOME145124,Norway,Unknown,PRJNA275276,102.1558885,SAMN03340676,
GUT_GENOME145125,Norway,Unknown,PRJNA275276,99.56721277,SAMN03340672,
GUT_GENOME145126,Norway,Unknown,PRJNA275276,100.6265436,SAMN03340669,
GUT_GENOME145127,Norway,Unknown,PRJNA275276,101.0683387,SAMN03340670,
GUT_GENOME145128,Norway,Unknown,PRJNA275276,101.0218688,SAMN03340671,
GUT_GENOME145129,Norway,Unknown,PRJNA275276,101.2736919,SAMN03340673,
GUT_GENOME145130,Norway,Unknown,PRJNA275276,102.0561838,SAMN03340674,
GUT_GENOME145131,Norway,Unknown,PRJNA275276,102.072054,SAMN03340677,
GUT_GENOME145132,Norway,Unknown,PRJNA275276,102.1515953,SAMN03340675,
GUT_GENOME145133,Norway,Unknown,PRJNA275276,100.7856183,SAMN03340667,
GUT_GENOME145134,Norway,Unknown,PRJEB6447,101.0785071,SAMEA2593937,
GUT_GENOME145135,Norway,Unknown,PRJEB6447,101.8076544,SAMEA2593927,
GUT_GENOME145136,Norway,Unknown,PRJEB6447,102.0795603,SAMEA2593919,
GUT_GENOME145137,Italy,Unknown,PRJNA243331,102.7771936,SAMN03612246,
GUT_GENOME145138,France,Unknown,PRJNA284656,102.0116282,SAMN03704963,
GUT_GENOME145139,France,Unknown,PRJNA284656,90.15332236,SAMN03704965,
GUT_GENOME145140,France,Unknown,PRJNA284656,102.0496757,SAMN03704966,
GUT_GENOME145141,France,Unknown,PRJNA284656,101.0085368,SAMN03704968,
GUT_GENOME145142,France,Unknown,PRJNA284656,100.3121192,SAMN03704967,
GUT_GENOME145143,France,Unknown,PRJNA284656,101.4093212,SAMN03704970,
GUT_GENOME145144,France,Unknown,PRJNA284656,101.4365824,SAMN03704969,
GUT_GENOME145145,France,Unknown,PRJNA284656,100.4772909,SAMN03704971,
GUT_GENOME145146,Finland,Unknown,PRJNA269579,101.6744376,SAMN03265483,
GUT_GENOME145147,Finland,Unknown,PRJNA269579,102.7871295,SAMN03265484,
GUT_GENOME145148,Gambia,Unknown,PRJNA237861,87.84381138,SAMN02640691,
GUT_GENOME145149,Gambia,Unknown,PRJNA237859,92.52274945,SAMN02640689,
GUT_GENOME145150,Gambia,Unknown,PRJNA237860,99.96960767,SAMN02640690,
GUT_GENOME145151,Gambia,Unknown,PRJNA237862,98.98235344,SAMN02640692,
GUT_GENOME145152,Mali,Unknown,PRJNA237865,98.87098304,SAMN02640695,
GUT_GENOME145153,Mozambique,Unknown,PRJNA237867,97.8151223,SAMN02640697,
GUT_GENOME145154,Mozambique,Unknown,PRJNA237872,95.67329229,SAMN02640698,
GUT_GENOME145155,Mozambique,Unknown,PRJNA237877,96.23303656,SAMN02640699,
GUT_GENOME145156,Mozambique,Unknown,PRJNA237880,94.54289082,SAMN02640701,
GUT_GENOME145157,Kenya,Unknown,PRJNA237884,92.68075921,SAMN02640705,
GUT_GENOME145158,Mozambique,Unknown,PRJNA237881,92.79669553,SAMN02640702,
GUT_GENOME145159,Kenya,Unknown,PRJNA237887,99.58692989,SAMN02640708,
GUT_GENOME145160,Kenya,Unknown,PRJNA237888,97.79740457,SAMN02640709,
GUT_GENOME145161,Pakistan,Unknown,PRJNA237890,96.07557006,SAMN02640711,
GUT_GENOME145162,Pakistan,Unknown,PRJNA237892,96.21482472,SAMN02640712,
GUT_GENOME145163,Gambia,Unknown,PRJNA237899,84.75333508,SAMN02640714,
GUT_GENOME145164,Gambia,Unknown,PRJNA237900,89.27104705,SAMN02640715,
GUT_GENOME145165,Gambia,Unknown,PRJNA237901,101.5147815,SAMN02640716,
GUT_GENOME145166,Gambia,Unknown,PRJNA237902,102.0513211,SAMN02640717,
GUT_GENOME145167,Gambia,Unknown,PRJNA237903,101.4950562,SAMN02640718,
GUT_GENOME145168,Mali,Unknown,PRJNA237904,88.26507546,SAMN02640719,
GUT_GENOME145169,Mozambique,Unknown,PRJNA237905,100.4478509,SAMN02640720,
GUT_GENOME145170,Mozambique,Unknown,PRJNA237906,98.71361434,SAMN02640721,
GUT_GENOME145171,Mozambique,Unknown,PRJNA237908,101.0149343,SAMN02640722,
GUT_GENOME145172,Mozambique,Unknown,PRJNA237911,102.0325224,SAMN02640723,
GUT_GENOME145173,Mozambique,Unknown,PRJNA237912,96.72526486,SAMN02640724,
GUT_GENOME145174,Mozambique,Unknown,PRJNA237915,98.38818001,SAMN02640725,
GUT_GENOME145175,Mozambique,Unknown,PRJNA237916,99.46051783,SAMN02640726,
GUT_GENOME145176,Kenya,Unknown,PRJNA237918,102.2322808,SAMN02640727,
GUT_GENOME145177,Kenya,Unknown,PRJNA237920,100.4793882,SAMN02640729,
GUT_GENOME145178,Kenya,Unknown,PRJNA237921,100.9086023,SAMN02640730,
GUT_GENOME145179,Kenya,Unknown,PRJNA237922,98.21680836,SAMN02640731,
GUT_GENOME145180,Kenya,Unknown,PRJNA237923,100.9091863,SAMN02640732,
GUT_GENOME145181,Kenya,Unknown,PRJNA237924,85.6521891,SAMN02640733,
GUT_GENOME145182,Pakistan,Unknown,PRJNA237925,99.102,SAMN02640734,
GUT_GENOME145183,Gambia,Unknown,PRJNA237927,80.36743899,SAMN02640736,
GUT_GENOME145184,Gambia,Unknown,PRJNA237932,78.52458658,SAMN02640737,
GUT_GENOME145185,Pakistan,Unknown,PRJNA237926,97.76091009,SAMN02640735,
GUT_GENOME145186,Gambia,Unknown,PRJNA237929,101.3668639,SAMN02640738,
GUT_GENOME145187,Gambia,Unknown,PRJNA237928,98.91195041,SAMN02640739,
GUT_GENOME145188,Gambia,Unknown,PRJNA237933,89.88064517,SAMN02640740,
GUT_GENOME145189,Gambia,Unknown,PRJNA237934,96.36279947,SAMN02640741,
GUT_GENOME145190,Mali,Unknown,PRJNA237935,102.2964623,SAMN02640742,
GUT_GENOME145191,Mozambique,Unknown,PRJNA237936,94.25648674,SAMN02640743,
GUT_GENOME145192,Mozambique,Unknown,PRJNA237937,100.1136682,SAMN02640744,
GUT_GENOME145193,Mozambique,Unknown,PRJNA237942,87.15219892,SAMN02640749,
GUT_GENOME145194,Mozambique,Unknown,PRJNA237940,99.21349773,SAMN02640747,
GUT_GENOME145195,Mozambique,Unknown,PRJNA237941,98.97237844,SAMN02640748,
GUT_GENOME145196,Kenya,Unknown,PRJNA237944,95.95102824,SAMN02640750,
GUT_GENOME145197,Kenya,Unknown,PRJNA237945,102.1331883,SAMN02640751,
GUT_GENOME145198,Kenya,Unknown,PRJNA237946,93.98401376,SAMN02640752,
GUT_GENOME145199,Kenya,Unknown,PRJNA237947,101.4199682,SAMN02640753,
GUT_GENOME145200,Kenya,Unknown,PRJNA237948,102.0553971,SAMN02640754,
GUT_GENOME145201,Kenya,Unknown,PRJNA237950,92.77392546,SAMN02640756,
GUT_GENOME145202,Pakistan,Unknown,PRJNA237951,100.4700823,SAMN02640757,
GUT_GENOME145203,Kenya,Unknown,PRJNA237949,102.2963758,SAMN02640755,
GUT_GENOME145204,Mozambique,Unknown,PRJNA237882,101.9887489,SAMN02640703,
GUT_GENOME145205,Kenya,Unknown,PRJEB2827,99.96988013,SAMEA1466120,
GUT_GENOME145206,Bangladesh,Unknown,PRJEB2827,102.2759013,SAMEA1466121,
GUT_GENOME145207,Gambia,Unknown,PRJEB2827,102.3626223,SAMEA1466122,
GUT_GENOME145208,India,Unknown,PRJEB2827,101.7374403,SAMEA1466123,
GUT_GENOME145209,Kenya,Unknown,PRJEB2827,99.9983235,SAMEA1466124,
GUT_GENOME145210,Mali,Unknown,PRJEB2827,100.4647299,SAMEA1466125,
GUT_GENOME145211,Kenya,Unknown,PRJEB2827,101.2423377,SAMEA1466126,
GUT_GENOME145212,India,Unknown,PRJEB2827,99.47178517,SAMEA1466127,
GUT_GENOME145213,India,Unknown,PRJEB2827,99.51001545,SAMEA1466128,
GUT_GENOME145214,India,Unknown,PRJEB2827,101.9491869,SAMEA1466129,
GUT_GENOME145215,Mozambique,Unknown,PRJEB2827,101.6614011,SAMEA1466130,
GUT_GENOME145216,India,Unknown,PRJEB2827,98.31978098,SAMEA1466131,
GUT_GENOME145217,Mali,Unknown,PRJEB2827,102.275597,SAMEA1466132,
GUT_GENOME145218,India,Unknown,PRJEB2827,101.9737373,SAMEA1466133,
GUT_GENOME145219,Gambia,Unknown,PRJEB2827,101.1789465,SAMEA1466134,
GUT_GENOME145220,India,Unknown,PRJEB2827,102.0657436,SAMEA1466135,
GUT_GENOME145221,Kenya,Unknown,PRJEB2827,101.3684764,SAMEA1466136,
GUT_GENOME145222,Mali,Unknown,PRJEB2827,102.2605565,SAMEA1466137,
GUT_GENOME145223,Kenya,Unknown,PRJEB2827,102.2015456,SAMEA1466138,
GUT_GENOME145224,Kenya,Unknown,PRJEB2827,102.0554905,SAMEA1466139,
GUT_GENOME145225,Netherlands,Unknown,PRJNA285020,100.9468495,SAMN03779025,
GUT_GENOME145226,Netherlands,Unknown,PRJNA285020,100.9103854,SAMN03785603,
GUT_GENOME145227,Germany,Unknown,PRJNA285020,100.4976704,SAMN03785609,
GUT_GENOME145228,Netherlands,Unknown,PRJNA285020,100.8672163,SAMN03785593,
GUT_GENOME145229,Netherlands,Unknown,PRJNA285020,100.4523334,SAMN03785594,
GUT_GENOME145230,Netherlands,Unknown,PRJNA285020,102.296575,SAMN03785595,
GUT_GENOME145231,Netherlands,Unknown,PRJNA285020,100.9026756,SAMN03785596,
GUT_GENOME145232,Netherlands,Unknown,PRJNA285020,100.905386,SAMN03785597,
GUT_GENOME145233,Netherlands,Unknown,PRJNA285020,100.77938,SAMN03785598,
GUT_GENOME145234,Netherlands,Unknown,PRJNA285020,100.8668299,SAMN03785599,
GUT_GENOME145235,Netherlands,Unknown,PRJNA285020,100.8810276,SAMN03785602,
GUT_GENOME145236,Netherlands,Unknown,PRJNA285020,100.8554399,SAMN03785600,
GUT_GENOME145237,Germany,Unknown,PRJNA285020,100.901521,SAMN03785608,
GUT_GENOME145238,Netherlands,Unknown,PRJNA285020,100.9516902,SAMN03785604,
GUT_GENOME145239,Netherlands,Unknown,PRJNA285020,99.37021629,SAMN03785606,
GUT_GENOME145240,Netherlands,Unknown,PRJNA285020,100.6615391,SAMN03785605,
GUT_GENOME145241,Netherlands,Unknown,PRJNA285020,100.9245966,SAMN03785607,
GUT_GENOME145242,Netherlands,Unknown,PRJNA285020,100.9017804,SAMN03785601,
GUT_GENOME145243,Mali,Unknown,PRJEB2827,98.80352354,SAMEA1466102,
GUT_GENOME145244,Mali,Unknown,PRJEB2827,101.2713045,SAMEA1466172,
GUT_GENOME145245,Gambia,Unknown,PRJEB2226,97.87865062,SAMEA1527970,
GUT_GENOME145247,Pakistan,Unknown,PRJEB2827,101.9967519,SAMEA1466114,
GUT_GENOME145248,Mozambique,Unknown,PRJEB2827,101.7176804,SAMEA1531037,
GUT_GENOME145249,India,Unknown,PRJEB2827,101.4949918,SAMEA1531025,
GUT_GENOME145250,India,Unknown,PRJEB2226,101.4178518,SAMEA1528041,
GUT_GENOME145251,India,Unknown,PRJEB2827,101.7378711,SAMEA1466160,
GUT_GENOME145252,India,Unknown,PRJEB2827,99.51328312,SAMEA1466150,
GUT_GENOME145253,Kenya,Unknown,PRJEB2827,101.6927942,SAMEA1466156,
GUT_GENOME145254,India,Unknown,PRJEB2827,101.0562095,SAMEA1466201,
GUT_GENOME145255,Pakistan,Unknown,PRJEB2827,100.6011923,SAMEA1531019,
GUT_GENOME145256,Kenya,Unknown,PRJEB2226,100.4655193,SAMEA1527954,
GUT_GENOME145257,Mali,Unknown,PRJEB2827,102.306905,SAMEA1466166,
